Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483141,SRR995960,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483141,SRR996034,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483142,SRR995961,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483142,SRR996035,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483143,SRR995962,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483143,SRR996036,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483144,SRR995963,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483144,SRR996037,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483145,SRR995964,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483145,SRR996038,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483146,SRR995965,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483146,SRR996039,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483147,SRR995966,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483147,SRR996040,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483148,SRR995967,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483148,SRR996041,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483149,SRR995968,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483149,SRR996042,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483150,SRR995969,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483150,SRR996043,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483151,SRR996044,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483151,SRR996112,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483152,SRR996045,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483152,SRR996113,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483153,SRR996046,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483153,SRR996114,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483154,SRR996047,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483154,SRR996115,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483155,SRR996048,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483155,SRR996116,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483156,SRR996049,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483156,SRR996117,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483157,SRR996050,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483157,SRR996118,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483158,SRR996051,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483158,SRR996119,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483159,SRR996052,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483159,SRR996120,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483160,SRR996053,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483160,SRR996121,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483161,SRR996054,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483161,SRR996122,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483162,SRR996055,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483162,SRR996123,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483163,SRR996056,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483163,SRR996124,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483164,SRR996057,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483164,SRR996125,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483165,SRR996058,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483165,SRR996126,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483166,SRR996059,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483166,SRR996127,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483167,SRR996060,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483167,SRR996128,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483168,SRR996061,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483168,SRR996129,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483169,SRR996062,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483169,SRR996130,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483170,SRR996063,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483170,SRR996131,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483171,SRR996064,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483171,SRR996132,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483172,SRR996065,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483172,SRR996133,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483173,SRR996066,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483173,SRR996134,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483174,SRR996067,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483174,SRR996135,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483175,SRR996068,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483175,SRR996136,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483176,SRR996069,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483176,SRR996137,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483177,SRR996070,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483177,SRR996138,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483178,SRR996071,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483178,SRR996139,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483179,SRR996072,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483179,SRR996140,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483180,SRR996073,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital fossa of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483180,SRR996141,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483181,SRR996074,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS483181,SRR996142,amplicon,454 GS FLX Titanium,2
